"TID","TR"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","Tamamlanan görev: <NUM>"
"TID_BATTLE_END_QUESTS_PROGRESSED","İlerlenen görev: <NUM>"
"TID_TICKET_COMPENSATION_TITLE","GÜNCELLEME BİLDİRİMİ"
"TID_TICKET_COMPENSATION_INFO","Biletlerinin karşılığında sana elmas veriyoruz! Biletleri oyundan kaldırdık, bu yüzden sahip olduğun biletler artık kullanılmıyor."
"TID_TICKET_COMPENSATION_CLAIM","AL!"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","KALAN KUTULARI AÇ"
"TID_BRAWL_PASS_QUESTS_LABEL","GÖREVLER"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","Görevleri açmak için <TROPHIES> kupaya ulaşmalısın!"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","Görevleri artık kupa yolunda açabilirsin!"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","Görevleri açmak için kupa yoluna gitmelisin."
"TID_BRAWL_PASS_QUESTS_CLAIM_NEXT","Görevler kupa yolundan alınır!"
"TID_BRAWL_PASS_QUESTS_CLAIM_TR_REWARDS","Görevleri açmak için kupa yolu ödüllerini toplamalısın!"
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","BİR KADEME AL"
"TID_QUESTS_TITLE","GÖREVLER"
"TID_QUEST_DESC_1","<AMOUNT> SAVAŞ KAZAN"
"TID_QUEST_DESC_2","<AMOUNT> DÜŞMAN YOK ET"
"TID_QUEST_DESC_3","<AMOUNT> HASAR VER"
"TID_QUEST_DESC_4","<AMOUNT> PUAN İYİLEŞ"
"TID_QUEST_DESC_5","<NUM> KEZ \qTEKRAR OYNA\q SEÇENEĞİNİ KULLAN"
"TID_QUEST_DESC_6","BİR TAKIMDA <NUM> MAÇ YAP"
"TID_QUEST_DESC_7_MODE_0","<AMOUNT> SANİYE BOYUNCA <LIMIT> VEYA DAHA FAZLA ELMAS TAŞI"
"TID_QUEST_DESC_7_MODE_2","KASAYA <AMOUNT> HASAR VER"
"TID_QUEST_DESC_7_MODE_3","<AMOUNT> MAÇI <LIMIT> VEYA DAHA FAZLA YILDIZLA BİTİR"
"TID_QUEST_DESC_7_MODE_5","<AMOUNT> KEZ PAS VER"
"TID_QUEST_DESC_7_MODE_6","<AMOUNT> GÜÇ KÜPÜ TOPLA"
"TID_QUEST_DESC_7_MODE_9","İKİ OYUNCU DA ETKİNKEN <AMOUNT> GÜÇ KÜPÜ TOPLA"
"TID_QUEST_DESC_7_MODE_17","<AMOUNT> SANİYE BOYUNCA BÖLGE ELE GEÇİR"
"TID_QUEST_DESC_7_MODE_20","HİÇ YENİLMEDEN <AMOUNT> TUR OYNA"
"TID_QUEST_DESC_7_MODE_34","<AMOUNT> KUPAYLA KAÇ"
"TID_QUEST_DESC_10","BİR KULÜP ARKADAŞINLA <NUM> MAÇ YAP"
"TID_QUEST_DESC_11","<AMOUNT> SAVAŞ YAP"
"TID_QUEST_DESC_1_LEVELED","BÖLÜMÜ TAMAMLA"
"TID_QUEST_DESC_1_BIG_GAME","<AMOUNT> SAVAŞ KAZAN"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","<AMOUNT> SAVAŞ KAZAN"
"TID_QUEST_HERO_CONDITION","\n(<HERO>)"
"TID_QUEST_HERO_CONDITION_2","\n(<HERO_1> VEYA <HERO_2>)"
"TID_QUEST_HERO_CONDITION_3","\n(<HERO_1>, <HERO_2> VEYA <HERO_3>)"
"TID_QUEST_MODE_CONDITION","\n(<MODE>)"
"TID_QUEST_MODE_CONDITION_2","\n(<MODE_1> VEYA <MODE_2> MODU)"
"TID_QUEST_PLAYAGAIN_CONDITION","\nBİR TAKIM ARKADAŞIYLA"
"TID_QUEST_NEW","YENİ"
"TID_QUEST_PREMIUM","BRAWL PASS ÖZEL"
"TID_MEGA_QUEST_INFO_COMPLETE_PREVIOUS","Önceki mega görevleri tamamla"
"TID_MEGA_QUEST_INFO_EXPIRES_IN","Sona ermesine: <TIME>"
"TID_MEGA_QUEST_INFO_UNLOCKS_IN","<TIME> sonra açılacak"
"TID_MEGA_QUEST_INFO_UNLOCKS_SOON","Yakında açılıyor!"
"TID_MEGA_QUEST_INFO_CURRENT","Şu anki mega görevin"
"TID_MEGA_QUEST_INFO_COMPLETED","Bu mega görev tamamlandı."
