"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_MECHA-TICK_GHIDORAH_SKIN","MECHA-TICK\nGHIDORAH","تيك غيدورا\nالآلي","机械基多拉迪克","機械基多拉","MECHA-TICK GHIDORAH","TICK MECA\nGHIDORAH","MECHA-TICK-\nGHIDORAH","MÉCHA-TICK\nGHIDORAH","טיק-מכני\nגידורה","TICK MECHA\nGHIDORAH","TICK MECHA\nGHIDORAH","メカティックギドラ","메카 틱 기도라","TICK MEKA\nGHIDORAH","GHIDORAH-\nMECHA-TICK","MECHA-TICK\nGHIDORAH","TICK MECHAGHIDORAH","ТИК-МЕХА\nГИДОРА","มังกรกิโดร่า\nเมก้าติ๊กต็อก","MEKA TICK\nGHIDORAH","TICK ROBOT QUÁI VẬT"
"TID_MECHA-TICK_GHIDORAH_SKIN_SHOP","MECHA-TICK\nGHIDORAH","تيك غيدورا\nالآلي","机械基多拉\n迪克","機械基多拉","MECHA-TICK\nGHIDORAH","TICK MECA\nGHIDORAH","MECHA-TICK-\nGHIDORAH","MÉCHA-TICK\nGHIDORAH","טיק-מכני\nגידורה","TICK MECHA\nGHIDORAH","TICK MECHA\nGHIDORAH","メカティックギドラ","메카 틱 기도라","TICK MEKA\nGHIDORAH","GHIDORAH-\nMECHA-TICK","MECHA-TICK\nGHIDORAH","TICK\nMECHAGHIDORAH","ТИК-МЕХА\nГИДОРА","มังกรกิโดร่า\nเมก้าติ๊กต็อก","MEKA TICK\nGHIDORAH","TICK ROBOT\nQUÁI VẬT"
"TID_MECHA-TICK_GHIDORAH_DARK_SKIN","MECHA-TICK\nGHIDORAH DARK","تيك غيدورا\nآلي الظلام","暗之机械基多拉迪克","暗之機械基多拉","MECHA-TICK GHIDORAH SCHATTEN","TICK MECA\nGHIDORAH OSCURO","TUMMA MECHA-TICK-GHIDORAH","MÉCHA-TICK\nGHIDORAH OBSCUR","טיק-מכני\nגידורה אפל","TICK MECHA\nGHIDORAH HITAM","TICK MECHA\nGHIDORAH OSCURO","ダーク メカティックギドラ","메카 틱 다크 기도라","TICK MEKA\nGHIDORAH GELAP","DUISTERE GHIDORAH-\nMECHA-TICK","CIEMNY MECHA-TICK\nGHIDORAH","TICK MECHAGHIDORAH SOMBRIO","ТИК-МЕХА\nТЁМНАЯ ГИДОРА","มังกรกิโดร่านิลกาฬ\nเมก้าติ๊กต็อก","MEKA TICK\nGHIDORAH SİYAH","TICK ROBOT QUÁI VẬT BÓNG TỐI"
"TID_MECHA-TICK_GHIDORAH_DARK_SKIN_SHOP","MECHA-TICK\nGHIDORAH DARK","تيك غيدورا\nآلي الظلام","暗之机械基多拉\n迪克","暗之機械基多拉","MECHA-TICK\nGHIDORAH SCHATTEN","TICK MECA\nGHIDORAH OSCURO","TUMMA MECHA-\nTICK-GHIDORAH","MÉCHA-TICK\nGHIDORAH OBSCUR","טיק-מכני\nגידורה אפל","TICK MECHA\nGHIDORAH HITAM","TICK MECHA\nGHIDORAH OSCURO","ダーク\nメカティックギドラ","메카 틱 다크 기도라","TICK MEKA\nGHIDORAH GELAP","DUISTERE GHIDORAH-\nMECHA-TICK","CIEMNY MECHA-TICK\nGHIDORAH","TICK\nMECHAGHIDORAH SOMBRIO","ТИК-МЕХА\nТЁМНАЯ ГИДОРА","มังกรกิโดร่านิลกาฬ\nเมก้าติ๊กต็อก","MEKA TICK\nGHIDORAH SİYAH","TICK ROBOT\nQUÁI VẬT BÓNG TỐI"
"TID_MECHA-TICK_GHIDORAH_LIGHT_SKIN","MECHA-TICK\nGHIDORAH LIGHT","تيك غيدورا\nآلي النور","光之机械基多拉迪克","光之機械基多拉","MECHA-TICK GHIDORAH LICHT","TICK MECA\nGHIDORAH CLARO","VAALEA MECHA-TICK-GHIDORAH","MÉCHA-TICK\nGHIDORAH RADIEUX","טיק-מכני\nגידורה בהיר","TICK MECHA\nGHIDORAH PUTIH","TICK MECHA\nGHIDORAH BIANCO","ライト メカティックギドラ","메카 틱\n라이트 기도라","TICK MEKA\nGHIDORAH CERAH","LICHTE GHIDORAH-\nMECHA-TICK","JASNY MECHA-TICK\nGHIDORAH","TICK MECHAGHIDORAH CINTILANTE","ТИК-МЕХА\nСВЕТЛАЯ ГИДОРА","มังกรกิโดร่าจรัสแสง\nเมก้าติ๊กต็อก","MEKA TICK\nGHIDORAH BEYAZ","TICK ROBOT QUÁI VẬT ÁNH SÁNG"
"TID_MECHA-TICK_GHIDORAH_LIGHT_SKIN_SHOP","MECHA-TICK\nGHIDORAH LIGHT","تيك غيدورا\nآلي النور","光之机械基多拉\n迪克","光之機械基多拉","MECHA-TICK\nGHIDORAH LICHT","TICK MECA\nGHIDORAH CLARO","VAALEA MECHA-TICK-\nGHIDORAH","MÉCHA-TICK\nGHIDORAH RADIEUX","טיק-מכני\nגידורה בהיר","TICK MECHA\nGHIDORAH PUTIH","TICK MECHA\nGHIDORAH BIANCO","ライト\nメカティックギドラ","메카 틱\n라이트 기도라","TICK MEKA\nGHIDORAH CERAH","LICHTE GHIDORAH-\nMECHA-TICK","JASNY MECHA-TICK\nGHIDORAH","TICK\nMECHAGHIDORAH CINTILANTE","ТИК-МЕХА\nСВЕТЛАЯ ГИДОРА","มังกรกิโดร่าจรัสแสง\nเมก้าติ๊กต็อก","MEKA TICK\nGHIDORAH BEYAZ","TICK ROBOT\nQUÁI VẬT ÁNH SÁNG"
"TID_MECHAGODZILLA_NITA_SKIN","MECHAGODZILLA NITA","نيتا جودزيلا الآلي","机械哥斯拉妮塔","機械哥吉拉","MECHAGODZILLA NITA","NITA MECAGODZILLA","MECHAGODZILLA-NITA","NITA MÉCHA-GODZILLA","ניטה מכה-גודזילה","NITA MECHAGODZILLA","NITA MECHAGODZILLA","メカゴジラ ニタ","메카고질라 니타","NITA MEKAGODZILLA","MECHA-GODZILLA-NITA","MECHAGODZILLA NITA","NITA MECHAGODZILLA","МЕХА-ГОДЗИЛЛА НИТА","เมก้าก็อดซิลล่า นิต้า","MEKA GODZILLA NITA","NITA GODZILLA ROBOT"
"TID_MECHAGODZILLA_NITA_SKIN_SHOP","MECHAGODZILLA NITA","نيتا جودزيلا الآلي","机械哥斯拉\n妮塔","機械哥吉拉","MECHAGODZILLA NITA","NITA MECAGODZILLA","MECHAGODZILLA-NITA","NITA MÉCHA-GODZILLA","ניטה מכה-גודזילה","NITA MECHAGODZILLA","NITA MECHAGODZILLA","メカゴジラ\nニタ","메카고질라 니타","NITA MEKAGODZILLA","MECHA-GODZILLA-NITA","MECHAGODZILLA NITA","NITA\nMECHAGODZILLA","МЕХА-ГОДЗИЛЛА НИТА","เมก้าก็อดซิลล่า นิต้า","MEKA GODZILLA NITA","NITA\nGODZILLA ROBOT"
"TID_INBOX_CAPTION_RANDOM_COLLAB_DROP_DONATION","Donation of <NUM> Random Event Rewards","التبرّع بـ <NUM> من مكافآت الأحداث العشوائية","补偿<NUM>个随机活动奖励","補償<NUM>個隨機活動獎勵","Spende von <NUM> zufälligen Ereignisbelohnungen","Donación de <NUM> recompensas de evento aleatorias.","Lahja: <NUM> satunnaista tapahtumapalkintoa","Don de <NUM> récompenses d'événements aléatoires","תרומה של <NUM> פרסי אירוע אקראיים","Pemberian <NUM> Hadiah Acak Acara","Donazione di <NUM> premi casuali dell'evento","ランダムイベント報酬<NUM>個の寄付","무작위 이벤트 보상 <NUM>개 선물","Pemberian <NUM> Ganjaran Acara Rawak","Donatie van <NUM> willekeurige evenementbeloningen","Darowizna losowego dropu wydarzenia: <NUM>","Doação de <NUM> recompensas aleatórias do evento","Вы получаете случайные награды события (<NUM>).","การบริจาครางวัลอีเวนท์สุ่ม <NUM> ชิ้น","<NUM> Rastgele Etkinlik Ödülü Bağışı","Quà tặng: <NUM> phần thưởng sự kiện ngẫu nhiên."
